#separator:Semicolon
#html:false
#columns:ID;Infinitiv;Präsens;Präteritum;Perfekt;Englische Übersetzung;Tags
#deck:Motive A1-A2 Verbliste
#guid column:1
#tags column:7

MA1A2V_0001;abfahren;fährt ab;fuhr ab;ist abgefahren;to depart;A1
MA1A2V_0002;abfliegen;fliegt ab;flog ab;ist abgeflogen;to take off (flight);A1
MA1A2V_0003;abgeben;gibt ab;gab ab;hat abgegeben;to hand in, to give away;A1
MA1A2V_0004;abholen;holt ab;holte ab;hat abgeholt;to pick up;A1
MA1A2V_0005;achtgeben;gibt acht;gab acht;hat achtgegeben;to pay attention;A2
MA1A2V_0006;ändern (sich);ändert sich;änderte sich;hat sich geändert;to change;A2
MA1A2V_0007;anfangen;fängt an;fing an;hat angefangen;to begin;A1
MA1A2V_0008;ankommen;kommt an;kam an;ist angekommen;to arrive;A1
MA1A2V_0009;anmachen;macht an;machte an;hat angemacht;to turn on, to switch on;A1
MA1A2V_0010;anmelden (sich);meldet an;meldete an;hat angemeldet;to register, to sign up;A1
MA1A2V_0011;anrufen;ruft an;rief an;hat angerufen;to call (on the phone);A1
MA1A2V_0012;antworten;antwortet;antwortete;hat geantwortet;to answer;A1
MA1A2V_0013;anziehen (sich);zieht an;zog an;hat angezogen;to put on (clothes);A1
MA1A2V_0014;arbeiten;arbeitet;arbeitete;hat gearbeitet;to work;A1
MA1A2V_0015;ärgern (sich);ärgert;ärgerte;hat geärgert;to annoy, to get angry;A2
MA1A2V_0016;aufhören;hört auf;hörte auf;hat aufgehört;to stop;A1
MA1A2V_0017;aufmachen;macht auf;machte auf;hat aufgemacht;to open;A2
MA1A2V_0018;aufpassen;passt auf;passte auf;hat aufgepasst;to pay attention, to watch out;A2
MA1A2V_0019;aufräumen;räumt auf;räumte auf;hat aufgeräumt;to tidy up;A2
MA1A2V_0020;aufschreiben;schreibt auf;schrieb auf;hat aufgeschrieben;to write down;A2
MA1A2V_0021;aufstehen;steht auf;stand auf;ist aufgestanden;to get up;A1
MA1A2V_0022;ausfüllen;füllt aus;füllte aus;hat ausgefüllt;to fill out;A1
MA1A2V_0023;ausgeben;gibt aus;gab aus;hat ausgegeben;to spend (money);A2
MA1A2V_0024;auspacken;packt aus;packte aus;hat ausgepackt;to unpack;A2
MA1A2V_0025;aussehen;sieht aus;sah aus;hat ausgesehen;to look, to appear;A1
MA1A2V_0026;aussteigen;steigt aus;stieg aus;ist ausgestiegen;to get off (transport);A1
MA1A2V_0027;ausziehen (sich);zieht sich aus;zog sich aus;hat sich ausgezogen;to take off (clothes);A2
MA1A2V_0028;ausziehen;zieht aus;zog aus;ist ausgezogen;to move out;A2
MA1A2V_0029;baden;badet;badete;hat gebadet;to bathe;A1
MA1A2V_0030;bedeuten;bedeutet;bedeutete;hat bedeutet;to mean;A1
MA1A2V_0031;beeilen (sich);beeilt;beeilte;hat beeilt;to hurry;A2
MA1A2V_0032;beginnen;beginnt;begann;hat begonnen;to begin;A1
MA1A2V_0033;behalten;behält;behielt;hat behalten;to keep;A1
MA1A2V_0034;bekommen;bekommt;bekam;hat bekommen;to get, to receive;A1
MA1A2V_0035;benutzen;benutzt;benutzte;hat benutzt;to use;A1
MA1A2V_0036;beschweren (sich);beschwert;beschwerte;hat beschwert;to complain;A2
MA1A2V_0037;besichtigen;besichtigt;besichtigte;hat besichtigt;to visit, to sightsee;A1
MA1A2V_0038;bestehen;besteht;bestand;hat bestanden;to pass (an exam), to exist;A2
MA1A2V_0039;bestellen;bestellt;bestellte;hat bestellt;to order;A1
MA1A2V_0040;besuchen;besucht;besuchte;hat besucht;to visit;A1
MA1A2V_0041;bezahlen;bezahlt;bezahlte;hat bezahlt;to pay;A1
MA1A2V_0042;bitten;bittet;bat;hat gebeten;to ask, to request;A1
MA1A2V_0043;bleiben;bleibt;blieb;ist geblieben;to stay;A1
MA1A2V_0044;bloggen;bloggt;bloggte;hat gebloggt;to blog;A1
MA1A2V_0045;bluten;blutet;blutete;hat geblutet;to bleed;A2
MA1A2V_0046;brauchen;braucht;brauchte;hat gebraucht;to need;A1
MA1A2V_0047;bremsen;bremst;bremste;hat gebremst;to brake;A2
MA1A2V_0048;bringen;bringt;brachte;hat gebracht;to bring;A1
MA1A2V_0049;buchen;bucht;buchte;hat gebucht;to book;A2
MA1A2V_0050;buchstabieren;buchstabiert;buchstabierte;hat buchstabiert;to spell;A1
MA1A2V_0051;danken;dankt;dankte;hat gedankt;to thank;A1
MA1A2V_0052;dauern;dauert;dauerte;hat gedauert;to last, to take (time);A2
MA1A2V_0053;denken;denkt;dachte;hat gedacht;to think;A2
MA1A2V_0054;diskutieren;diskutiert;diskutierte;hat diskutiert;to discuss;A2
MA1A2V_0055;drucken;druckt;druckte;hat gedruckt;to print;A1
MA1A2V_0056;dürfen;darf;durfte;hat gedurft;to be allowed to, may;A1
MA1A2V_0057;duschen (sich);duscht;duschte;hat geduscht;to shower;A1
MA1A2V_0058;einkaufen;kauft ein;kaufte ein;hat eingekauft;to shop;A1
MA1A2V_0059;einladen;lädt ein;lud ein;hat eingeladen;to invite;A1
MA1A2V_0060;einsteigen;steigt ein;stieg ein;ist eingestiegen;to get in, to board;A1
MA1A2V_0061;einziehen;zieht ein;zog ein;ist eingezogen;to move in;A2
MA1A2V_0062;enden;endet;endete;hat geendet;to end;A1
MA1A2V_0063;entschuldigen;entschuldigt;entschuldigte;hat entschuldigt;to excuse, to apologize;A1
MA1A2V_0064;erinnern (sich);erinnert;erinnerte;hat erinnert;to remember;A2
MA1A2V_0065;erklären;erklärt;erklärte;hat erklärt;to explain;A1
MA1A2V_0066;erlauben;erlaubt;erlaubte;hat erlaubt;to allow, to permit;A1
