#separator:Semicolon
#html:false
#columns:ID;German Word;English Word;Tags
#deck:Motive A1 Wortliste
#tags column:4
#guid column:1

MA1W_0001;willkommen;welcome;verb
MA1W_0002;Buchstabe;letter (of the alphabet);noun
MA1W_0003;buchstabieren;to spell;verb
MA1W_0004;Wiedersehen;goodbye;noun
MA1W_0005;auf Deutsch;in German;adverb
MA1W_0006;Automat, der, -en;vending machine, ATM;noun
MA1W_0007;Baby, das, -s [CH] Bébé, das, -s;baby;noun
MA1W_0008;Banane, die, -n;banana;noun
MA1W_0009;Computer, der, -;computer;noun
MA1W_0010;deutsch;German;adjective
MA1W_0011;Film, der, -e;film, movie;noun
MA1W_0012;Foto, das, -s;photo;noun
MA1W_0013;Geldautomat, der, -en Bankomat, der, -en;ATM;noun
MA1W_0014;Gitarre, die, -n;guitar;noun
MA1W_0015;hallo [A] Servus / Grüß dich. [CH] Hoi. / Sali. / Salü.;hello;interjection
MA1W_0016;Hotel, das, -s;hotel;noun
MA1W_0017;ich;I;pronoun
MA1W_0018;international;international;adjective
MA1W_0019;Internet, das, Sg.;internet;noun
MA1W_0020;Kaffee, der, -s;coffee;noun
MA1W_0021;Museum, das, Museen;museum;noun
MA1W_0022;Post, die;post office, mail;noun
MA1W_0023;Radio, das, -s [CH] Radio, der, -s;radio;noun
MA1W_0024;SMS, die, - [A/CH] SMS das, -;text message;noun
MA1W_0025;super;great, super;adjective
MA1W_0026;Taxi, das / der, -s;taxi;noun
MA1W_0027;Telefon, das, -e;telephone;noun
MA1W_0028;und;and;conjunction
MA1W_0029;Universität, die, -en;university;noun
MA1W_0030;Wort, das, :-er / -e;word;noun
MA1W_0031;Ach ja;Oh yes, Oh well;interjection
MA1W_0032;Beispiel, das, -e;example;noun
MA1W_0033;Comic, der / das, -s;comic;noun
MA1W_0034;du;you (informal, singular);pronoun
MA1W_0035;Entschuldigung, die, -en;excuse, apology;noun
MA1W_0036;Familienname, der, -n;surname, family name;noun
MA1W_0037;formell;formal;adjective
MA1W_0038;Frau, die, -en;woman, Mrs., Ms.;noun
MA1W_0039;heißen;to be called;verb
MA1W_0040;Herr, der, -en;gentleman, Mr.;noun
MA1W_0041;hier;here;adverb
MA1W_0042;informell;informal;adjective
MA1W_0043;lesen;to read;verb
MA1W_0044;Name, der, -n;name;noun
MA1W_0045;Person, die, -en;person;noun
MA1W_0046;Sie;"you (formal, singular and plural); she; they";pronoun
MA1W_0047;Teil, der, -e;part;noun
MA1W_0048;Vorname, der, -n;first name;noun
MA1W_0049;wie;how, like, as;adverb conjunction
MA1W_0050;bitte;"please; you're welcome; pardon";adverb interjection
MA1W_0051;nein;no;particle
MA1W_0052;neu;new;adjective
MA1W_0053;Telefonnummer, die, -n;telephone number;noun
MA1W_0054;von;from, of, by;preposition
MA1W_0055;wichtig;important;adjective
MA1W_0056;acht;eight;numeral
MA1W_0057;dann;then, after that;adverb
MA1W_0058;drei;three;numeral
MA1W_0059;eins;one;numeral
MA1W_0060;falsch;wrong, false;adjective
MA1W_0061;fünf;five;numeral
MA1W_0062;Handy, das, -s [CH] Natel, das, -s;mobile phone;noun
MA1W_0063;neun;nine;numeral
MA1W_0064;richtig;right, correct;adjective
MA1W_0065;sechs;six;numeral
MA1W_0066;sieben;seven;numeral
MA1W_0067;vier;four;numeral
MA1W_0068;zwei;two;numeral
MA1W_0069;Ägypten;Egypt;noun
MA1W_0070;auch;also, too;adverb
MA1W_0071;aus;from, out of;preposition
MA1W_0072;aus Deutschland;from Germany;preposition
MA1W_0073;aus Korea;from Korea;preposition
MA1W_0074;Brasilien, das, Sg.;Brazil;noun
MA1W_0075;Café, das, -s;café;noun
MA1W_0076;China, das, Sg.;China;noun
MA1W_0077;Deutschland, das, Sg.;Germany;noun
MA1W_0078;Frankfurt;Frankfurt;noun
MA1W_0079;ihr;"you (informal, plural); her";pronoun
MA1W_0080;im Café;in the café;preposition
MA1W_0081;in;in, into;preposition
MA1W_0082;in Frankfurt;in Frankfurt;preposition
MA1W_0083;in Korea;in Korea;preposition
MA1W_0084;Komm auch!;Come too!;verb
MA1W_0085;kommen;to come;verb
MA1W_0086;Korea;Korea;noun
MA1W_0087;Namensschild, das, -er;name tag;noun
MA1W_0088;neun Uhr;nine o'clock;noun
MA1W_0089;nicht;not;particle
MA1W_0090;sie;she, they;pronoun
MA1W_0091;Tut mir leid.;I'm sorry.;verb
MA1W_0092;Uhr, die, -en;clock, watch, hour, o'clock;noun
MA1W_0093;um neun Uhr;at nine o'clock;preposition
MA1W_0094;vergleichen;to compare;verb
